-9999.0	 0	0	0	0
263.15	48	18	59	255
265.7815789473684	62	57	148	255
268.4131578947368	69	94	211	255
271.04473684210527	70	129	247	255
273.6763157894737	58	163	252	255
276.3078947368421	35	196	227	255
278.9394736842105	24	222	192	255
281.57105263157894	45	240	157	255
284.20263157894735	92	252	112	255
286.8342105263158	144	255	72	255
289.46578947368424	182	247	53	255
292.09736842105266	215	229	53	255
294.72894736842107	240	204	58	255
297.3605263157895	253	174	53	255
299.9921052631579	252	136	37	255
302.62368421052633	242	96	20	255
305.25526315789475	224	64	8	255
307.88684210526316	197	38	3	255
310.5184210526316	162	18	1	255
313.15	122	4	3	255
